fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_perdued,results_ossoffj,results_hazels,results_write_ins,results_absentee_perdued,results_absentee_ossoffj,results_absentee_hazels,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
13051,Chatham,131847,94558,92,92,Released as a precinct as first report of the night,99,133484,99%,99% reported,edison,10,all,,63578,,,52988,75873,2986,0,34750,58082,1726,0,2021-01-12T21:56:05Z,17.35724,D+17,Ossoff +17,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13053,Chattahoochee,1548,1094,1,1,None,98,1582,98%,98% reported,edison,10,unknown,,126,,,850,636,60,2,569,485,40,0,2020-11-24T13:26:06Z,13.82429,R+14,Perdue +14,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13055,Chattooga,9938,7077,13,13,Released with cumulative results periodically election night,99,10053,99%,99% reported,edison,10,unknown,,5234,,,7777,1886,275,,5395,1493,189,,2021-01-12T21:56:15Z,59.27752,R+59,Perdue +59,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13057,Cherokee,143526,112262,42,42,Released as a separate subtotal as first report of the night,99,144859,99%,99% reported,edison,10,unknown,,90723,,,99384,39928,4214,,75911,33576,2775,,2021-01-12T21:56:24Z,41.42525,R+41,Perdue +41,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13059,Clarke,50950,41876,24,24,None,99,51421,99%,99% reported,edison,10,unknown,,31528,,,15078,34549,1323,,11596,29392,888,,2021-01-12T21:58:55Z,38.2159,D+38,Ossoff +38,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13061,Clay,1416,1117,5,5,Merged into voters' home precincts and released with cumulative results,99,1436,99%,99% reported,edison,10,all,,907,,,647,748,21,,519,582,16,,2021-01-12T21:59:01Z,7.13277,D+7,Ossoff +7,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13063,Clayton,111045,90234,65,65,None,99,112391,99%,99% reported,edison,10,unknown,,91435,,,14841,93699,2505,,11796,76605,1833,,2021-01-13T16:56:03Z,71.01445,D+71,Ossoff +71,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13065,Clinch,2797,1963,5,5,"As a precinct in the FIRST cumulative report, along with regular precincts",98,2862,98%,98% reported,edison,10,unknown,,1870,,,2083,660,54,,1477,448,38,,2021-01-12T21:59:33Z,50.87594,R+51,Perdue +51,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
13067,Cobb,390772,319681,145,145,Merged into voters' home precincts and released with cumulative results,99,394022,99%,99% reported,edison,10,all,,202586,,,169658,210851,10263,0,131644,180918,7119,0,2021-01-13T17:08:11Z,10.54144,D+11,Ossoff +11,democrat,ossoffj,georgia,2021-05-09T20:05:54.175111Z
13069,Coffee,14991,11292,6,6,Other,99,15214,99%,99% reported,edison,10,unknown,,13390,,,10424,4281,286,0,7880,3211,201,0,2021-03-07T03:06:15Z,40.97792,R+41,Perdue +41,republican,perdued,georgia,2021-05-09T20:05:54.175111Z
