fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_durbinr,results_curranm,results_maloufd,results_wilsonw,results_blackd,results_write_ins,results_absentee_durbinr,results_absentee_curranm,results_absentee_maloufd,results_absentee_wilsonw,results_absentee_blackd,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
17153,Pulaski,2576,0,11,11,None,98,2624,98%,98% reported,edison,10,unknown,,1053,,,1066,1466,8,23,13,0,0,0,0,0,0,0,2021-01-26T19:10:28Z,15.52795,R+16,Curran +16,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17155,Putnam,3297,0,8,8,Merged into voters' home precincts and released with cumulative results,97,3390,97%,97% reported,edison,10,all,,926,,,1459,1706,40,64,28,0,0,0,0,0,0,0,2020-12-08T17:45:30Z,7.49166,R+7,Curran +7,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17157,Randolph,14671,0,37,37,None,99,14891,99%,99% reported,edison,10,unknown,,4659,,,4645,9741,129,77,79,0,0,0,0,0,0,0,2021-01-26T19:10:32Z,34.73519,R+35,Curran +35,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17159,Richland,7913,0,21,21,Merged into voters' home precincts and released with cumulative results,98,8063,98%,98% reported,edison,10,all,,1760,,,1932,5777,116,54,34,0,0,0,0,0,0,0,2020-12-08T17:41:10Z,48.59093,R+49,Curran +49,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17161,Rock Island,66163,0,120,120,None,99,66758,99%,99% reported,edison,10,unknown,,46442,,,36493,27705,963,454,548,0,0,0,0,0,0,0,2021-01-26T19:17:41Z,13.28235,D+13,Durbin +13,democrat,durbinr,illinois,2021-04-29T13:39:24.072007Z
17165,Saline,10793,0,28,28,Merged into voters' home precincts and released with cumulative results,98,11066,98%,98% reported,edison,10,some,,4206,,,3246,7267,145,75,60,0,0,0,0,0,0,0,2021-01-26T19:10:48Z,37.25563,R+37,Curran +37,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17167,Sangamon,104322,0,180,180,Merged into voters' home precincts and released with cumulative results,100,104752,100%,100% reported,edison,10,unknown,,18626,,,48733,52333,1337,933,985,1,0,0,0,0,0,0,2021-01-07T18:29:51Z,3.45085,R+3,Curran +3,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17169,Schuyler,3846,0,17,17,None,98,3906,98%,98% reported,edison,10,unknown,,1472,,,1283,2448,62,32,21,0,0,0,0,0,0,0,2021-01-26T19:10:54Z,30.29121,R+30,Curran +30,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17171,Scott,2681,0,10,10,Other,98,2737,98%,98% reported,edison,10,unknown,,478,,,705,1930,21,13,12,0,0,0,0,0,0,0,2021-01-26T19:11:00Z,45.69191,R+46,Curran +46,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
17173,Shelby,11945,0,33,33,None,99,12097,99%,99% reported,edison,10,unknown,,2422,,,2921,8698,125,100,101,0,0,0,0,0,0,0,2021-01-26T19:11:07Z,48.36333,R+48,Curran +48,republican,curranm,illinois,2021-04-29T13:39:24.072007Z
