fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_sasseb,results_janicekc,results_write_ins,results_siadekg,results_absentee_sasseb,results_absentee_janicekc,results_absentee_write_ins,results_absentee_siadekg,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,state,retrieved_time
31139,Pierce,4063,0,6,6,Released as a precinct as first report of the night,100,4006,100%,100% reported,edison,10,unknown,,1102,,,3261,353,245,204,0,0,0,0,2020-12-11T15:36:55Z,71.57273,R+72,Sasse +72,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31141,Platte,15901,0,32,32,Released as a precinct as first report of the night,100,15673,100%,100% reported,edison,10,unknown,,5291,,,12055,2183,938,725,0,0,0,0,2020-12-11T15:37:08Z,62.08415,R+62,Sasse +62,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31143,Polk,2932,0,6,6,Merged into voters' home precincts and released with cumulative results,100,2879,100%,100% reported,edison,10,unknown,,954,,,2276,355,170,131,0,0,0,0,2020-12-11T15:37:16Z,65.51842,R+66,Sasse +66,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31145,Red Willow,5634,0,14,14,Merged into voters' home precincts and released with cumulative results,100,5452,100%,100% reported,edison,10,unknown,,1754,,,4290,574,430,340,0,0,0,0,2020-12-11T15:37:25Z,65.95669,R+66,Sasse +66,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31147,Richardson,4137,0,15,15,Released as a separate subtotal as first report of the night,100,4126,100%,100% reported,edison,10,unknown,,1536,,,3023,680,238,196,0,0,0,0,2020-12-11T15:37:39Z,56.63524,R+57,Sasse +57,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31149,Rock,838,0,2,2,Released as a precinct as first report of the night,100,841,100%,100% reported,edison,10,unknown,,381,,,699,43,48,48,0,0,0,0,2020-12-11T15:37:48Z,77.68496,R+78,Sasse +78,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31151,Saline,5956,0,13,13,Merged into voters' home precincts and released with cumulative results,100,5770,100%,100% reported,edison,10,unknown,,1309,,,3675,1410,491,380,0,0,0,0,2020-12-11T15:37:57Z,38.02888,R+38,Sasse +38,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31153,Sarpy,99386,0,52,52,Merged into voters' home precincts and released with cumulative results,100,96193,100%,100% reported,edison,10,all,,41779,,,57763,23500,12297,5826,0,0,0,0,2020-12-11T15:38:11Z,34.47467,R+34,Sasse +34,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31155,Saunders,13143,0,19,19,"As a precinct in the FIRST cumulative report, along with regular precincts",100,12735,100%,100% reported,edison,10,unknown,,3181,,,9210,1997,1168,768,0,0,0,0,2020-12-11T15:38:23Z,54.88093,R+55,Sasse +55,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31157,Scotts Bluff,16044,0,30,30,Released as a precinct as first report of the night,100,15469,100%,100% reported,edison,10,unknown,,6589,,,10820,3042,1229,953,0,0,0,0,2020-12-11T15:38:32Z,48.47918,R+48,Sasse +48,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31159,Seward,9379,0,16,16,Released as a precinct as first report of the night,100,9142,100%,100% reported,edison,10,unknown,,2013,,,6718,1464,742,455,0,0,0,0,2020-12-11T15:38:41Z,56.01877,R+56,Sasse +56,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31161,Sheridan,2763,0,9,9,Released as a precinct as first report of the night,100,2672,100%,100% reported,edison,10,unknown,,739,,,2042,290,222,209,0,0,0,0,2020-12-11T15:38:50Z,63.40934,R+63,Sasse +63,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31163,Sherman,1752,0,7,7,Released separately AFTER election night,100,1698,100%,100% reported,edison,10,unknown,,421,,,1233,247,144,128,0,0,0,0,2020-12-11T15:39:02Z,56.27854,R+56,Sasse +56,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31165,Sioux,748,0,3,3,Released separately AFTER election night,100,729,100%,100% reported,edison,10,unknown,,291,,,597,52,52,47,0,0,0,0,2020-12-11T15:39:09Z,72.86096,R+73,Sasse +73,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31167,Stanton,3211,0,16,16,Released as a precinct as first report of the night,100,3165,100%,100% reported,edison,10,unknown,,1576,,,2304,374,291,242,0,0,0,0,2020-12-11T15:39:17Z,60.10589,R+60,Sasse +60,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31169,Thayer,3014,0,8,8,Released as a precinct as first report of the night,100,2980,100%,100% reported,edison,10,unknown,,773,,,2356,372,163,123,0,0,0,0,2020-12-11T15:39:26Z,65.82614,R+66,Sasse +66,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31171,Thomas,411,0,1,1,Released as a separate subtotal at the end of tabulation,96,427,96%,96% reported,edison,10,unknown,,242,,,329,40,21,21,0,0,0,0,2020-12-11T15:39:34Z,70.3163,R+70,Sasse +70,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31173,Thurston,2305,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",99,2325,99%,99% reported,edison,10,unknown,,363,,,1218,885,128,74,0,0,0,0,2020-12-11T15:39:45Z,14.44685,R+14,Sasse +14,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31175,Valley,2375,0,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,2340,100%,100% reported,edison,10,unknown,,581,,,1821,280,152,122,0,0,0,0,2020-12-11T15:39:53Z,64.88421,R+65,Sasse +65,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31177,Washington,12806,0,16,16,Released as a precinct as first report of the night,100,12413,100%,100% reported,edison,10,unknown,,4096,,,8808,1981,1256,761,0,0,0,0,2020-12-11T15:40:01Z,53.31095,R+53,Sasse +53,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31179,Wayne,4323,0,11,11,Released as a precinct as first report of the night,100,4200,100%,100% reported,edison,10,unknown,,1347,,,3000,638,409,276,0,0,0,0,2020-12-11T15:40:09Z,54.63798,R+55,Sasse +55,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31181,Webster,1883,0,6,6,Released separately AFTER election night,100,1876,100%,100% reported,edison,10,unknown,,499,,,1443,230,121,89,0,0,0,0,2020-12-11T15:40:28Z,64.41848,R+64,Sasse +64,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31183,Wheeler,511,0,2,2,Released separately AFTER election night,100,502,100%,100% reported,edison,10,unknown,,160,,,387,49,39,36,0,0,0,0,2020-12-11T15:40:35Z,66.14481,R+66,Sasse +66,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
31185,York,7308,0,13,13,Released as a precinct as first report of the night,100,7143,100%,100% reported,edison,10,unknown,,2483,,,5406,1017,506,379,0,0,0,0,2020-12-11T15:40:44Z,60.05747,R+60,Sasse +60,republican,sasseb,nebraska,2020-12-22T01:10:22.530510Z
