fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_westk,results_blankenshipd,results_hawkinsh,results_kennedya,results_la_rivag,results_write_ins,results_de_la_fuenter,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_westk,results_absentee_blankenshipd,results_absentee_hawkinsh,results_absentee_kennedya,results_absentee_la_rivag,results_absentee_write_ins,results_absentee_de_la_fuenter,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
47163,Sullivan,74357,0,25,25,Released as a separate subtotal as first report of the night,100,74357,100%,100% reported,edison,10,all,,48525,,,55860,17272,773,135,122,89,32,20,19,35,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:24:07Z,51.89558,R+52,Trump +52,republican,trumpd,51.89558,62278,55.2,59887,47.16,tennessee,2021-05-06T22:33:22.304595Z
47165,Sumner,92630,0,28,28,Released as a separate subtotal as first report of the night,100,92630,100%,100% reported,edison,10,all,,50299,,,63454,27680,940,174,137,112,59,25,0,49,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:24:55Z,38.62032,R+39,Trump +39,republican,trumpd,38.62032,71505,44.7,65366,41.95,tennessee,2021-05-06T22:33:22.304595Z
47167,Tipton,27308,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",100,27308,100%,100% reported,edison,10,all,,16570,,,20070,6837,224,56,46,28,21,9,4,13,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:47:07Z,48.45833,R+48,Trump +48,republican,trumpd,48.45833,23481,47.4,24081,39.61,tennessee,2021-05-06T22:33:22.304595Z
47169,Trousdale,3998,0,10,10,Released as a separate subtotal as first report of the night,100,3998,100%,100% reported,edison,10,unknown,,2363,,,2936,1012,35,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:04:35Z,48.12406,R+48,Trump +48,republican,trumpd,48.12406,3160,36.6,2905,12.81,tennessee,2021-05-06T22:33:22.304595Z
47171,Unicoi,8307,0,8,8,Released as a separate subtotal as first report of the night,100,8307,100%,100% reported,edison,10,all,,5666,,,6599,1615,50,14,15,6,4,1,1,2,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:47:39Z,59.99759,R+60,Trump +60,republican,trumpd,59.99759,7195,61.3,7086,44.02,tennessee,2021-05-06T22:33:22.304595Z
47173,Union,8123,0,9,9,Released as a separate subtotal as first report of the night,100,8123,100%,100% reported,edison,10,all,,2568,,,6803,1249,44,8,9,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:27:39Z,68.37375,R+68,Trump +68,republican,trumpd,68.37375,6247,64.7,5828,48.11,tennessee,2021-05-06T22:33:22.304595Z
47175,Van Buren,2921,0,7,7,Released as a separate subtotal as first report of the night,100,2921,100%,100% reported,edison,10,all,,1663,,,2342,544,23,6,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:27:52Z,61.55426,R+62,Trump +62,republican,trumpd,61.55426,2419,53,2300,22.22,tennessee,2021-05-06T22:33:22.304595Z
47177,Warren,16009,0,20,20,Released as a separate subtotal as first report of the night,100,16009,100%,100% reported,edison,10,unknown,,9152,,,11850,3924,119,41,23,25,10,6,2,9,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:03:05Z,49.50965,R+50,Trump +50,republican,trumpd,49.50965,13612,44.1,13015,25.03,tennessee,2021-05-06T22:33:22.304595Z
47179,Washington,60203,4456,35,35,Other,100,60203,100%,100% reported,edison,10,all,,36497,,,40444,18638,668,105,106,104,50,43,12,33,1969,2427,29,1,9,9,5,4,0,3,2020-12-16T18:48:16Z,36.22079,R+36,Trump +36,republican,trumpd,36.22079,49750,42.7,48032,38.48,tennessee,2021-05-06T22:33:22.304595Z
47181,Wayne,6669,0,14,14,Released as a precinct as first report of the night,100,6669,100%,100% reported,edison,10,unknown,,3409,,,5795,820,27,4,11,5,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:05:23Z,74.59889,R+75,Trump +75,republican,trumpd,74.59889,5857,73.7,5486,56.33,tennessee,2021-05-06T22:33:22.304595Z
47183,Weakley,13735,0,10,10,Other,100,13735,100%,100% reported,edison,10,unknown,,7542,,,10396,3020,84,111,31,28,34,19,0,12,0,0,0,0,0,0,0,0,0,0,2021-03-06T23:06:27Z,53.70222,R+54,Trump +54,republican,trumpd,53.70222,12184,51.2,12337,40.99,tennessee,2021-05-06T22:33:22.304595Z
47185,White,11895,0,11,11,Released as a separate subtotal as first report of the night,100,11895,100%,100% reported,edison,10,all,,6831,,,9606,2143,106,13,14,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:32:28Z,62.74065,R+63,Trump +63,republican,trumpd,62.74065,9825,59.3,9140,37.22,tennessee,2021-05-06T22:33:22.304595Z
47187,Williamson,139016,110229,25,25,Released as a separate subtotal as first report of the night,100,139016,100%,100% reported,edison,10,all,,104306,,,86469,50161,1494,257,276,116,37,34,84,88,69604,39027,1028,180,205,81,22,21,0,61,2020-12-03T14:20:23Z,26.11786,R+26,Trump +26,republican,trumpd,26.11786,106271,35,96225,46.46,tennessee,2021-05-06T22:33:22.304595Z
47189,Wilson,74330,0,18,18,None,100,74330,100%,100% reported,edison,10,all,,50009,,,50296,22254,781,449,163,81,126,104,25,51,0,0,0,0,0,0,0,0,0,0,2020-12-16T18:33:07Z,37.72636,R+38,Trump +38,republican,trumpd,37.72636,56734,44.1,51499,41.58,tennessee,2021-05-06T22:33:22.304595Z
