fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_carrollb,results_la_rivag,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_carrollb,results_absentee_la_rivag,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
17061,Greene,6227,0,22,22,Merged into voters' home precincts and released with cumulative results,100,6137,100%,100% reported,edison,4,some,,1365,,,1349,4770,70,21,11,6,0,0,0,0,0,0,0,0,2020-12-08T16:26:12Z,54.93817,R+55,Trump +55,republican,trumpd,54.93817,5585,52.6,5622,25.4,illinois,2021-01-04T11:36:42.359396Z
17063,Grundy,26753,0,40,40,Merged into voters' home precincts and released with cumulative results,100,26400,100%,100% reported,edison,6,unknown,,5610,,,9626,16523,356,125,34,26,63,0,0,0,0,0,0,0,2020-12-08T17:44:25Z,25.78029,R+26,Trump +26,republican,trumpd,25.78029,23237,23.2,21244,8.91,illinois,2021-01-04T11:36:42.359396Z
17065,Hamilton,4323,0,16,16,None,94,4588,94%,94% reported,edison,4,none,,1330,,,824,3432,41,11,3,4,8,0,0,0,0,0,0,0,2020-12-08T17:38:29Z,60.32848,R+60,Trump +60,republican,trumpd,60.32848,4156,57.8,3941,32.91,illinois,2021-01-04T11:36:42.359396Z
17067,Hancock,9383,0,33,33,None,100,9121,100%,100% reported,edison,4,none,,1187,,,2315,6906,114,35,5,8,0,0,0,0,0,0,0,0,2020-12-04T19:39:25Z,48.92891,R+49,Trump +49,republican,trumpd,48.92891,9121,47,9111,17.79,illinois,2021-01-04T11:36:42.359396Z
17069,Hardin,2162,0,6,6,Merged into voters' home precincts and released with cumulative results,86,2514,86%,86% reported,edison,2,unknown,,1520,,,449,1691,14,7,0,1,0,0,0,0,0,0,0,0,2020-12-08T17:38:54Z,57.44681,R+57,Trump +57,republican,trumpd,57.44681,2148,57.4,2330,34.03,illinois,2021-01-04T11:36:42.359396Z
17071,Henderson,3656,0,13,13,Merged into voters' home precincts and released with cumulative results,94,3885,94%,94% reported,edison,2,unknown,,675,,,1187,2394,49,11,4,2,9,0,0,0,0,0,0,0,2020-12-04T19:49:46Z,33.01422,R+33,Trump +33,republican,trumpd,33.01422,3518,28.4,3568,-12.25,illinois,2021-01-04T11:36:42.359396Z
17073,Henry,25700,0,52,52,Merged into voters' home precincts and released with cumulative results,100,24559,100%,100% reported,edison,4,unknown,,4688,,,9797,15300,369,109,43,17,65,0,0,0,0,0,0,0,2020-12-04T19:50:36Z,21.41245,R+21,Trump +21,republican,trumpd,21.41245,24643,20.8,24322,-3.08,illinois,2021-01-04T11:36:42.359396Z
17075,Iroquois,14044,0,37,37,Other,98,14348,98%,98% reported,edison,4,some,,3459,,,2908,10877,147,64,24,4,20,0,0,0,0,0,0,0,2020-12-08T17:44:36Z,56.74309,R+57,Trump +57,republican,trumpd,56.74309,13102,55.3,12784,44.64,illinois,2021-01-04T11:36:42.359396Z
17077,Jackson,22716,0,56,56,Merged into voters' home precincts and released with cumulative results,84,27180,84%,84% reported,edison,2,unknown,,6498,,,11181,10890,311,194,34,33,73,0,0,0,0,0,0,0,2020-12-08T16:18:33Z,1.28104,D+1.3,Biden +1.3,democrat,bidenj,-1.28104,24617,-3.2,24012,-14.39,illinois,2021-01-04T11:36:42.359396Z
17079,Jasper,5586,0,16,16,Merged into voters' home precincts and released with cumulative results,99,5643,99%,99% reported,edison,2,some,,2270,,,1007,4494,53,17,4,1,10,0,0,0,0,0,0,0,2020-12-08T17:39:09Z,62.42392,R+62,Trump +62,republican,trumpd,62.42392,5112,59.7,5043,41.21,illinois,2021-01-04T11:36:42.359396Z
17081,Jefferson,17436,0,33,33,Merged into voters' home precincts and released with cumulative results,94,18631,94%,94% reported,edison,4,all,,4357,,,4608,12476,214,77,16,13,32,0,0,0,0,0,0,0,2020-12-08T16:19:06Z,45.12503,R+45,Trump +45,republican,trumpd,45.12503,16999,42.8,16320,22.81,illinois,2021-01-04T11:36:42.359396Z
17083,Jersey,11960,0,25,25,Merged into voters' home precincts and released with cumulative results,99,12076,99%,99% reported,edison,4,some,,2467,,,2961,8712,202,45,10,7,23,0,0,0,0,0,0,0,2020-12-08T16:26:39Z,48.08528,R+48,Trump +48,republican,trumpd,48.08528,10991,46.1,9959,23.82,illinois,2021-01-04T11:36:42.359396Z
17085,JoDaviess,12495,6000,29,29,None,100,11314,100%,100% reported,edison,2,unknown,,3006,,,5109,7166,125,61,16,18,0,3447,2458,47,30,10,8,0,2020-12-04T19:51:44Z,16.46259,R+16,Trump +16,republican,trumpd,16.46259,11334,14.6,11429,-1.16,illinois,2021-01-04T11:36:42.359396Z
17087,Johnson,6450,0,16,16,Released as a precinct at the end of tabulation,100,6442,100%,100% reported,edison,6,some,,3610,,,1281,5059,53,37,3,4,13,0,0,0,0,0,0,0,2020-12-08T17:39:21Z,58.57364,R+59,Trump +59,republican,trumpd,58.57364,6089,57.6,5672,42.15,illinois,2021-01-04T11:36:42.359396Z
