fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_bidenj,results_trumpd,results_jorgensenj,results_hawkinsh,results_pierceb,results_write_ins,results_absentee_bidenj,results_absentee_trumpd,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_pierceb,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
36101,Steuben,46179,0,85,85,Merged into voters' home precincts AFTER election night,100,46178,100%,100% reported,edison,10,all,,,,,15790,29474,570,164,167,14,0,0,0,0,0,0,2020-12-15T14:21:22Z,29.63252,R+30,Trump +30,republican,trumpd,29.63252,42002,34.1,38531,16.01,new-york,2021-04-29T12:39:28.156787Z
36103,Suffolk,771751,0,1052,1052,Merged into voters' home precincts AFTER election night,100,771541,100%,100% reported,edison,10,all,,,,,381021,381253,4593,2135,2539,210,0,0,0,0,0,0,2021-03-08T20:27:15Z,0.03006,R+0.03,Trump +0.03,republican,trumpd,0.03006,681254,6.8,594266,-3.69,new-york,2021-04-29T12:39:28.156787Z
36105,Sullivan,34647,0,73,73,Merged into voters' home precincts AFTER election night,100,34647,100%,100% reported,edison,10,unknown,,,,,15489,18665,247,123,112,11,0,0,0,0,0,0,2020-12-04T16:12:50Z,9.16674,R+9,Trump +9,republican,trumpd,9.16674,29955,11.2,28415,-9.02,new-york,2021-04-29T12:39:28.156787Z
36107,Tioga,25036,4206,41,41,Merged into voters' home precincts AFTER election night,100,25044,100%,100% reported,edison,10,all,,,,,9634,14791,416,92,97,6,2774,1324,58,24,20,6,2021-02-08T17:20:37Z,20.59834,R+21,Trump +21,republican,trumpd,20.59834,22299,25.7,21589,14.76,new-york,2021-04-29T12:39:28.156787Z
36109,Tompkins,45735,0,63,63,Merged into voters' home precincts AFTER election night,100,45735,100%,100% reported,edison,10,unknown,,,,,33619,11096,474,365,137,44,0,0,0,0,0,0,2020-12-04T16:36:11Z,49.24675,D+49,Biden +49,democrat,bidenj,-49.24675,42678,-43.4,39781,-40.56,new-york,2021-04-29T12:39:28.156787Z
36111,Ulster,97420,0,168,168,Merged into voters' home precincts AFTER election night,100,97420,100%,100% reported,edison,10,some,,,,,57970,37590,879,618,344,19,0,0,0,0,0,0,2020-12-04T16:13:10Z,20.91973,D+21,Biden +21,democrat,bidenj,-20.91973,85290,-11,78315,-22.86,new-york,2021-04-29T12:39:28.156787Z
36113,Warren,36149,0,19,19,Merged into voters' home precincts AFTER election night,100,36131,100%,100% reported,edison,10,all,,,,,17642,17699,424,204,162,18,0,0,0,0,0,0,2020-12-15T14:22:13Z,0.15768,R+0.16,Trump +0.16,republican,trumpd,0.15768,31408,8.5,29578,-2.32,new-york,2021-04-29T12:39:28.156787Z
36115,Washington,28101,0,50,50,Merged into voters' home precincts AFTER election night,100,28138,100%,100% reported,edison,10,all,,,,,11565,15941,340,128,119,8,0,0,0,0,0,0,2020-12-15T14:22:23Z,15.5724,R+16,Trump +16,republican,trumpd,15.5724,24528,18.4,23095,-1.9,new-york,2021-04-29T12:39:28.156787Z
36117,Wayne,44727,7289,67,67,Merged into voters' home precincts AFTER election night,100,44714,100%,100% reported,edison,10,all,,,,,17456,26204,656,184,214,13,4657,2470,83,35,44,0,2020-12-15T14:22:31Z,19.55866,R+20,Trump +20,republican,trumpd,19.55866,39687,25,37547,9.12,new-york,2021-04-29T12:39:28.156787Z
36119,Westchester,462364,0,942,942,Merged into voters' home precincts AFTER election night,100,462122,100%,100% reported,edison,10,all,,,,,312437,144731,2569,1280,1145,202,0,0,0,0,0,0,2021-04-02T13:58:14Z,36.27142,D+36,Biden +36,democrat,bidenj,-36.27142,420655,-33.7,388447,-25.14,new-york,2021-04-29T12:39:28.156787Z
36121,Wyoming,19399,0,40,40,Merged into voters' home precincts AFTER election night,100,19399,100%,100% reported,edison,10,all,,,,,5073,13898,267,63,93,5,0,0,0,0,0,0,2020-12-15T14:22:47Z,45.49204,R+45,Trump +45,republican,trumpd,45.49204,17298,49.4,16335,28.69,new-york,2021-04-29T12:39:28.156787Z
36123,Yates,10701,0,18,18,Merged into voters' home precincts AFTER election night,100,10701,100%,100% reported,edison,10,all,,,,,4219,6208,165,40,59,10,0,0,0,0,0,0,2020-12-04T16:36:27Z,18.58705,R+19,Trump +19,republican,trumpd,18.58705,10066,19.9,9442,3.28,new-york,2021-04-29T12:39:28.156787Z
