fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_hawkinsh,results_write_ins,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_hawkinsh,results_absentee_write_ins,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,leader_key,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
48071,Chambers,21652,19084,15,15,Released as a precinct as first report of the night,100,21652,100%,100% reported,edison,10,all,,17808,,,17353,3997,250,50,2,15389,3457,201,35,2,2020-12-11T21:45:50Z,61.68483,R+62,Trump +62,republican,trumpd,61.68483,16836,61.7,14735,61.06,texas,2021-05-07T13:34:42.935524Z
48073,Cherokee,19508,15460,25,25,Released as a precinct as first report of the night,100,19508,100%,100% reported,edison,10,unknown,,16073,,,15101,4210,161,36,0,11818,3502,116,24,0,2021-02-17T16:44:15Z,55.82838,R+56,Trump +56,republican,trumpd,55.82838,16790,56.3,16126,50.97,texas,2021-05-07T13:34:42.935524Z
48075,Childress,2279,1785,5,5,Released as a precinct as first report of the night,100,2279,100%,100% reported,edison,10,unknown,,1817,,,1943,310,18,8,0,1525,244,12,4,0,2021-02-17T16:44:19Z,71.65423,R+72,Trump +72,republican,trumpd,71.65423,2084,74.3,1996,67.38,texas,2021-05-07T13:34:42.935524Z
48077,Clay,5744,4166,17,17,Released as a precinct as first report of the night,100,5741,100%,100% reported,edison,10,unknown,,3005,,,5069,614,46,12,3,3659,474,28,5,0,2021-02-17T16:44:31Z,77.55919,R+78,Trump +78,republican,trumpd,77.55919,5018,76.5,5057,69.73,texas,2021-05-07T13:34:42.935524Z
48079,Cochran,1000,676,4,4,Released as a precinct as first report of the night,100,1000,100%,100% reported,edison,10,unknown,,604,,,809,177,11,3,0,550,118,5,3,0,2021-02-17T16:44:47Z,63.2,R+63,Trump +63,republican,trumpd,63.2,901,54.3,917,42.86,texas,2021-05-07T13:34:42.935524Z
48081,Coke,1779,1245,5,5,Released as a precinct as first report of the night,100,1779,100%,100% reported,edison,10,all,,1206,,,1586,178,10,5,0,1108,131,4,2,0,2020-11-27T14:19:01Z,79.14559,R+79,Trump +79,republican,trumpd,79.14559,1423,79.1,1408,73.79,texas,2021-05-07T13:34:42.935524Z
48083,Coleman,4124,3549,5,5,Released as a precinct as first report of the night,100,4124,100%,100% reported,edison,10,unknown,,3691,,,3641,451,23,9,0,3129,394,19,7,0,2021-02-22T20:04:20Z,77.35209,R+77,Trump +77,republican,trumpd,77.35209,3643,76.6,3492,73.6,texas,2021-05-07T13:34:42.935524Z
48085,Collin,490856,454572,240,240,Released as a precinct as first report of the night,100,492216,100%,100% reported,edison,10,all,,368567,,,252318,230945,6075,1246,272,231854,216264,5131,1051,272,2021-01-08T19:54:39Z,4.35423,R+4,Trump +4,republican,trumpd,4.35423,364430,16.6,302821,31.53,texas,2021-05-07T13:34:42.935524Z
48087,Collingsworth,1218,845,8,8,Released as a precinct as first report of the night,100,1218,100%,100% reported,edison,10,unknown,,1021,,,1048,155,12,1,2,724,112,8,1,0,2021-02-17T16:45:00Z,73.31691,R+73,Trump +73,republican,trumpd,73.31691,1156,72.5,1150,68.26,texas,2021-05-07T13:34:42.935524Z
48089,Colorado,9975,8059,5,5,Released as a precinct as first report of the night,100,9975,100%,100% reported,edison,10,unknown,,6404,,,7472,2420,50,19,14,5909,2088,38,14,10,2021-02-22T20:04:33Z,50.64662,R+51,Trump +51,republican,trumpd,50.64662,8513,51,8117,49.24,texas,2021-05-07T13:34:42.935524Z
